iter	Passed	Remaining
0	60	60857
1	61	30811
2	62	20812
3	63	15832
4	64	12833
5	65	10788
6	65	9323
7	66	8223
8	67	7391
9	67	6719
10	68	6171
11	69	5705
12	69	5303
13	70	4961
14	71	4664
15	71	4422
16	72	4197
17	73	3992
18	73	3813
19	74	3650
20	75	3514
21	76	3378
22	76	3256
23	77	3140
24	77	3032
25	78	2936
26	79	2847
27	79	2774
28	80	2702
29	81	2637
30	82	2576
31	83	2517
32	83	2459
33	84	2405
34	85	2350
35	85	2301
36	86	2255
37	87	2212
38	88	2174
39	88	2131
40	89	2090
41	90	2053
42	90	2017
43	91	1985
44	92	1957
45	93	1929
46	93	1898
47	94	1870
48	94	1840
49	95	1813
50	96	1790
51	96	1767
52	97	1742
53	98	1718
54	98	1698
55	99	1679
56	100	1664
57	101	1648
58	102	1628
59	102	1610
60	103	1592
61	104	1580
62	105	1563
63	105	1545
64	106	1530
65	107	1514
66	107	1498
67	107	1479
68	108	1463
69	109	1449
70	109	1436
71	110	1423
72	111	1411
73	112	1402
74	112	1391
75	113	1381
76	114	1371
77	115	1362
78	115	1352
79	116	1344
80	117	1334
81	118	1324
82	118	1313
83	119	1303
84	119	1291
85	120	1282
86	121	1271
87	121	1262
88	122	1252
89	123	1244
90	124	1241
91	125	1240
92	126	1234
93	127	1229
94	128	1225
95	129	1220
96	130	1213
97	131	1206
98	131	1198
99	132	1189
100	132	1181
101	133	1171
102	133	1164
103	134	1157
104	134	1149
105	135	1142
106	136	1135
107	137	1131
108	137	1125
109	138	1119
110	138	1112
111	139	1105
112	140	1099
113	140	1095
114	141	1090
115	142	1085
116	143	1082
117	144	1077
118	144	1072
119	145	1068
120	146	1064
121	147	1059
122	147	1052
123	148	1047
124	149	1043
125	149	1039
126	150	1035
127	150	1028
128	151	1023
129	152	1019
130	153	1015
131	153	1010
132	154	1005
133	154	1000
134	155	996
135	156	991
136	156	987
137	157	981
138	157	977
139	158	973
140	159	969
141	159	964
142	160	960
143	160	955
144	161	951
145	161	947
146	162	942
147	163	939
148	163	936
149	164	933
150	165	929
151	165	925
152	166	921
153	167	918
154	167	915
155	168	912
156	169	910
157	170	907
158	171	904
