iter	Passed	Remaining
0	25	25688
1	27	13885
2	29	9721
3	30	7599
4	32	6369
5	33	5509
6	34	4873
7	35	4428
8	37	4088
9	39	3870
10	40	3662
11	42	3458
12	44	3390
13	46	3278
14	49	3239
15	50	3135
16	52	3034
17	54	2970
18	57	2962
19	59	2915
20	62	2921
21	64	2863
22	65	2787
23	68	2784
24	70	2738
25	73	2736
26	74	2677
27	76	2641
28	77	2587
29	78	2539
30	79	2493
31	81	2457
32	84	2484
33	86	2458
34	88	2433
35	89	2400
36	90	2365
37	92	2336
38	93	2312
39	94	2279
40	96	2255
41	98	2256
42	101	2260
43	103	2252
44	105	2235
45	106	2214
46	108	2189
47	109	2174
48	111	2158
49	114	2166
50	115	2154
51	116	2132
52	118	2116
53	120	2102
54	121	2091
55	123	2077
56	124	2061
57	126	2051
58	128	2053
59	132	2073
60	133	2061
61	135	2048
62	137	2038
63	138	2025
64	140	2015
65	144	2039
66	145	2028
67	147	2019
68	148	2006
69	150	1995
70	151	1983
71	152	1970
72	154	1958
73	156	1955
74	159	1962
75	160	1952
76	162	1944
77	164	1938
78	165	1929
79	166	1915
80	167	1905
81	169	1901
82	171	1892
83	173	1891
84	175	1892
85	177	1886
86	178	1877
87	180	1869
88	182	1864
89	183	1858
90	185	1851
91	188	1859
92	190	1855
93	191	1848
94	193	1841
95	195	1837
96	196	1827
97	197	1818
98	199	1815
99	201	1812
100	204	1817
101	206	1815
102	208	1816
103	210	1810
104	211	1802
105	212	1794
106	213	1785
107	215	1779
108	217	1778
109	218	1771
110	226	1814
111	228	1807
112	229	1798
113	230	1792
114	232	1791
115	233	1782
116	235	1774
117	236	1771
118	238	1766
119	240	1762
120	241	1757
121	243	1755
122	246	1757
123	250	1767
124	251	1762
125	253	1755
126	254	1747
127	255	1739
128	256	1732
129	257	1725
130	259	1718
131	260	1713
132	262	1710
133	263	1705
134	265	1700
135	266	1694
136	268	1689
137	269	1683
138	270	1677
139	272	1671
140	273	1666
141	275	1666
142	277	1664
143	279	1659
144	281	1658
145	282	1654
